Data Center ID,Agency Data Center ID,Legacy Data Center ID,Record Status,Record Validity,Agency Abbreviation,Component,Office Name,Data Center Name,Published Name,Core Classification,Non-core Sub-Category,City,State,Province,Zip Code,Country,Ownership Type,Colocation Provider,Colocation Provider Type,Government-Wide Provider,Providing Services,Percent Services Paid by Other Agencies,Other Agencies Serviced,Data Center Tier,Gross Floor Area,Total Customer Floor Area,Annual Cost per Sq Ft,FTE,FTE Cost,Electricity Included in Cost,Electricity is Metered,Total Power Capacity,Total IT Power Capacity,Avg Electricity Usage,Avg IT Electricity Usage,Cost per KWH,Rack Count,Total IBM Mainframes,Total Other Mainframes,Total Windows Servers,Total Unix Servers,Total Linux Servers,Total HPC Cluster Nodes,Other Servers,Total Virtual Hosts,Total Virtual OS,Total Storage,Used Storage,Closing Stage,Closing Fiscal Year,Closing Quarter,Real Property Disposition,Real Property Disposition Date,Total Floor Area Eliminated or Repurposed,Total Decommissioned Physical Servers,Total Servers Moved to Other Data Center,Overall FTE Reduction
FDCCI-DC-45746,FDCCI-DC-2494,,existing,Valid Facility,GSA,OCIO,,6R-MO0544,R06,NonCore,,KANSAS CITY,MO,,"	64131",U.S.,Agency Owned,No,,,No,,,Tier 2,6864,,12,15.03,,No,Yes,798,778,312.3,179.5,0.07,7,0,0,2,2,0,0,7,2,16,0,0,Closed,2014,Q4,Repurpose,Q2/2015,6864,0,0,0
FDCCI-DC-45759,FDCCI-DC-5961,,existing,Added Facility,GSA,CPO,,6R-MO0544,6R-MO0544,NonCore,,Kansas City,MO,,"	64131",U.S.,Colocation,No,,,No,,,Tier 2,8,,0,0,,No,No,,,,,,0,0,0,5,0,0,0,0,0,0,0,0,Closed,2014,Q4,Repurpose,Q4/2014,8,5,0,0
FDCCI-DC-45747,FDCCI-DC-2490,,existing,Valid Facility,GSA,OCIO,,5R-IL0236,R05,NonCore,,CHICAGO,IL,,"	60604",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,720,,12,2.79,,No,No,64,64,,4.61,,17,0,0,8,0,0,0,13,5,32,37.38,19.78,Not closing,,,,Q2/2015,,1,,
FDCCI-DC-45760,FDCCI-DC-5960,,existing,Added Facility,GSA,CFO,,6R-MO0544,6R-MO0544,NonCore,,Kansas City,MO,,"	64131",U.S.,Colocation,No,,,No,,,,672,,0,5,,No,No,,,,,,0,0,0,7,0,4,0,6,7,69,70,36,Closed,2014,Q4,Repurpose,Q4/2014,672,20,17,0
FDCCI-DC-45748,FDCCI-DC-2489,,existing,Valid Facility,GSA,OCIO,,4R-GA0087,R04A,NonCore,,ATLANTA,GA,,"	30308",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,1808,,12,2.4,,No,No,7500,1437,,125,,28,0,0,10,0,0,0,7,2,10,32.3,24.4,Not closing,,,,,,,,
FDCCI-DC-45761,FDCCI-DC-5987,,existing,Added Facility,GSA,PBS,,7R-TX0224ZZ,7R-TX0224ZZ,NonCore,,Fort Worth,TX,,"	76102",U.S.,Colocation,No,,,No,,,,8,,0,0.03,,No,No,,,,,,1,0,0,1,0,0,0,0,5,31,37,16.65,Not closing,,,,,,,,
FDCCI-DC-45749,FDCCI-DC-2485,,existing,Valid Facility,GSA,OCIO,,3R-PA0736,R03,NonCore,,PHILADELPHIA,PA,,"	19107",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,1655,,12,1.39,,No,No,512,180,,33,,25,0,0,14,0,0,0,10,2,14,19.3,7.48,Considering,,,,,,0,,
FDCCI-DC-45762,FDCCI-DC-5959,,existing,Added Facility,GSA,CFO,,7R-TX0224ZZ,7R-TX0224ZZ,NonCore,,Fort Worth,TX,,"	76102",U.S.,Colocation,No,,,No,,,,196,,0,2,,No,No,,,,,,12,0,0,6,0,4,0,0,5,56,70,59,Not closing,,,,,,,,
FDCCI-DC-45750,FDCCI-DC-2484,,existing,Valid Facility,GSA,OCIO,,2R-NY0282,R02A,NonCore,,NEW YORK MANHATTAN,NY,,"	10278",U.S.,Agency Owned,Yes,Agency Only,,No,,,Tier 2,960,,12,1.43,,No,No,66,3.6,,1.19,,24,0,0,11,1,0,0,9,2,13,7,5.9,Considering,,,,,,,,
FDCCI-DC-45763,FDCCI-DC-5988,,existing,Added Facility,GSA,PBS,,8R-CO0516,8R-CO0516,NonCore,,Denver,CO,,"	80215",U.S.,Colocation,No,,,No,,,,8,,0,0.03,,No,No,,,,,,1,0,0,2,0,0,0,0,3,1,16.85,5.8,Not closing,,,,,,,,
